about_to_divide	cell_age	cellxposition	cellyposition	channel_average_cells	channel_in_multipoint	channel_orientation	channel_width	division_age	elongation_rate	fluorescence_0	fluorescence_background_0	fluorescence_count	fluorescence_raw_0	fluorescence_std_0	length	multipoint	timepoint	timepoint_num	uid_cell	uid_parent	uid_thiscell	uid_track
0	0.0	169.5	162.99958298	6.92083333	0	0	1.235	0.88668682	0.0	7.31557543	3246.31162183	1	3253.62719727	71.39571381	1.04	0	1069.61167115	1	1	0	2	1
0	0.24859766	171.5	191.5	6.92083333	0	0	1.235	0.88668682	0.02346496	17.63441309	3245.60704199	1	3263.24145508	82.58975983	2.405	0	1964.56323488	2	1	0	3	1
0	0.4985103	171.5	210.52630182	6.92083333	0	0	1.235	0.88668682	0.01556099	18.7313997	3246.07670577	1	3264.80810547	69.62651062	3.315	0	2864.2487442	3	1	0	4	1
0	0.0	169.5	198.99958298	6.92083333	0	0	1.235	nan	0.0	16.16982348	3246.31162183	1	3262.48144531	79.8057785	3.38	0	1069.61167115	1	5	0	6	5
0	0.0	169.5	245.99958298	6.92083333	0	0	1.235	nan	0.0	9.26699145	3246.31162183	1	3255.57861328	85.75245667	2.47	0	1069.61167115	1	7	0	8	7
0	0.24859766	171.5	232.0	6.92083333	0	0	1.235	nan	0.00223476	24.01136622	3245.60704199	1	3269.6184082	86.18304443	2.6	0	1964.56323488	2	7	0	9	7
0	0.0	169.5	287.99958298	6.92083333	0	0	1.235	nan	0.0	4.46645434	3246.31162183	1	3250.77807617	78.40171051	2.73	0	1069.61167115	1	10	0	11	10
0	0.24859766	171.5	276.5	6.92083333	0	0	1.235	nan	0.00335214	8.93787989	3245.60704199	1	3254.54492188	76.31121063	2.925	0	1964.56323488	2	10	0	12	10
0	0.4985103	171.5	263.52630182	6.92083333	0	0	1.235	nan	0.006669	6.76167314	3246.07670577	1	3252.83837891	73.80928802	3.315	0	2864.2487442	3	10	0	13	10
0	0.0	169.5	319.49958298	6.92083333	0	0	1.235	nan	0.0	-4.4231941	3246.31162183	1	3241.88842773	73.22085571	1.105	0	1069.61167115	1	14	0	15	14
0	0.24859766	171.5	311.5	6.92083333	0	0	1.235	nan	0.00446952	9.02454981	3245.60704199	1	3254.6315918	83.003479	1.365	0	1964.56323488	2	14	0	16	14
0	0.4985103	171.5	301.02630182	6.92083333	0	0	1.235	nan	-0.0011115	11.17817705	3246.07670577	1	3257.25488281	61.15019608	1.3	0	2864.2487442	3	14	0	17	14
0	0.88668682	168.5	281.47201097	6.92083333	0	0	1.235	nan	0.01073395	-0.02976434	3247.67942255	1	3247.6496582	77.51813507	2.275	0	4261.6842352	4	14	0	18	14
0	0.99980807	169.5	273.52722005	6.92083333	0	0	1.235	nan	0.0	5.02874232	3247.5554862	1	3252.58422852	70.02471161	2.275	0	4668.92071675	5	14	0	19	14
0	0.0	169.5	343.99958298	6.92083333	0	0	1.235	1.24849935	0.0	10.8099602	3246.31162183	1	3257.12158203	78.22049713	1.82	0	1069.61167115	1	20	0	21	20
0	0.24859766	171.5	339.0	6.92083333	0	0	1.235	1.24849935	0.00223476	13.06092676	3245.60704199	1	3258.66796875	76.68654633	1.95	0	1964.56323488	2	20	0	22	20
0	0.4985103	171.5	330.52630182	6.92083333	0	0	1.235	1.24849935	0.0055575	7.12104814	3246.07670577	1	3253.19775391	64.05809784	2.275	0	2864.2487442	3	20	0	23	20
0	0.88668682	168.5	319.97201097	6.92083333	0	0	1.235	1.24849935	0.00214679	8.11281378	3247.67942255	1	3255.79223633	71.75467682	2.47	0	4261.6842352	4	20	0	24	20
0	0.99980807	169.5	312.52722005	6.92083333	0	0	1.235	1.24849935	0.00245558	6.41155482	3247.5554862	1	3253.96704102	60.27220154	2.535	0	4668.92071675	5	20	0	25	20
0	0.0	169.5	379.49958298	6.92083333	0	0	1.235	0.88668682	0.0	0.64321215	3246.31162183	1	3246.95483398	81.48088074	2.535	0	1069.61167115	1	26	0	27	26
0	0.24859766	171.5	377.5	6.92083333	0	0	1.235	0.88668682	0.00446952	6.93641505	3245.60704199	1	3252.54345703	81.64300537	2.795	0	1964.56323488	2	26	0	28	26
0	0.4985103	171.5	373.02630182	6.92083333	0	0	1.235	0.88668682	0.0033345	6.95478837	3246.07670577	1	3253.03149414	70.10739136	2.99	0	2864.2487442	3	26	0	29	26
0	0.0	169.5	421.49958298	6.92083333	0	0	1.235	0.99980807	0.0	-1.76669996	3246.31162183	1	3244.54492188	78.61009979	2.665	0	1069.61167115	1	30	0	31	30
0	0.24859766	171.5	423.5	6.92083333	0	0	1.235	0.99980807	0.00446952	2.45643458	3245.60704199	1	3248.06347656	78.5313797	2.925	0	1964.56323488	2	30	0	32	30
0	0.4985103	171.5	423.02630182	6.92083333	0	0	1.235	0.99980807	0.0055575	0.08589189	3246.07670577	1	3246.16259766	68.61688995	3.25	0	2864.2487442	3	30	0	33	30
0	0.88668682	168.5	418.47201097	6.92083333	0	0	1.235	0.99980807	0.00214679	-1.21067255	3247.67942255	1	3246.46875	75.9384079	3.445	0	4261.6842352	4	30	0	34	30
0	0.0	169.5	455.99958298	6.92083333	0	0	1.235	26.79492063	0.0	-2.01328199	3246.31162183	1	3244.29833984	67.28593445	1.56	0	1069.61167115	1	35	0	36	35
0	0.24859766	171.5	462.0	6.92083333	0	0	1.235	26.79492063	0.00446952	-6.59849706	3245.60704199	1	3239.00854492	71.7514801	1.82	0	1964.56323488	2	35	0	37	35
0	0.4985103	171.5	459.02630182	6.92083333	0	0	1.235	26.79492063	-0.011115	-2.29228194	3246.07670577	1	3243.78442383	56.67891312	1.17	0	2864.2487442	3	35	0	38	35
0	0.88668682	168.5	461.47201097	6.92083333	0	0	1.235	26.79492063	0.00787156	-8.95896356	3247.67942255	1	3238.72045898	75.78240204	1.885	0	4261.6842352	4	35	0	39	35
0	0.99980807	169.5	458.52722005	6.92083333	0	0	1.235	26.79492063	-0.01473345	-9.13116979	3247.5554862	1	3238.42431641	68.78913116	1.495	0	4668.92071675	5	35	0	40	35
0	1.24849935	172.5	454.97207546	6.92083333	0	0	1.235	26.79492063	0.00335087	-9.82391916	3247.45111642	1	3237.62719727	66.55448914	1.69	0	5564.20932575	6	35	0	41	35
0	1.49847531	172.5	455.9991914	6.92083333	0	0	1.235	26.79492063	0.0	-9.07405609	3247.59212249	1	3238.51806641	69.8212738	1.69	0	6464.1227927	7	35	0	42	35
0	1.88749409	173.5	461.52798903	6.92083333	0	0	1.235	26.79492063	0.00214214	-10.01909168	3245.73417957	1	3235.71508789	71.52391815	1.885	0	7864.59039518	8	35	0	43	35
0	1.99980311	173.5	457.02802865	6.92083333	0	0	1.235	26.79492063	-0.01731334	-8.21005969	3245.84995227	1	3237.63989258	70.41666412	1.43	0	8268.90287788	9	35	0	44	35
0	2.24845439	173.5	455.52932072	6.92083333	0	0	1.235	26.79492063	0.00111714	-7.5628309	3245.6499891	1	3238.0871582	69.87867737	1.495	0	9164.04747565	10	35	0	45	35
0	2.49873365	172.5	460.0004043	6.92083333	0	0	1.235	26.79492063	0.0077691	-9.189963	3245.783713	1	3236.59375	64.43024445	1.95	0	10065.05281025	11	35	0	46	35
0	2.8864905	172.5	460.52798903	6.92083333	0	0	1.235	26.79492063	0.00071637	-15.20113106	3246.29683419	1	3231.09570312	70.41925049	2.015	0	11460.97745595	12	35	0	47	35
0	3.00008699	171.5	453.97067928	6.92083333	0	0	1.235	26.79492063	-0.01222651	-12.12076255	3246.56851646	1	3234.44775391	62.99641037	1.69	0	11869.92485233	13	35	0	48	35
0	3.24868607	173.5	460.05727019	6.92083333	0	0	1.235	26.79492063	0.00446949	-11.12446049	3246.10395268	1	3234.97949219	61.67081451	1.95	0	12764.88150755	14	35	0	49	35
0	3.49854812	172.5	458.50121289	6.92083333	0	0	1.235	26.79492063	-0.00111172	-10.53909089	3246.21926667	1	3235.68017578	59.90607452	1.885	0	13664.38491353	15	35	0	50	35
0	3.88629189	172.5	459.50041702	6.92083333	0	0	1.235	26.79492063	0.00143279	-4.42092402	3247.36818964	1	3242.94726562	72.60902405	2.015	0	15060.26249168	16	35	0	51	35
0	3.99997479	172.5	456.0	6.92083333	0	0	1.235	26.79492063	-0.02199099	0.86286705	3247.96843177	1	3248.83129883	70.00148773	1.43	0	15469.52092823	17	35	0	52	35
0	4.24837414	171.5	460.50078354	6.92083333	0	0	1.235	26.79492063	0.00559135	-2.19138848	3247.59055841	1	3245.39916992	77.5645752	1.755	0	16363.75859105	18	35	0	53	35
0	4.49864037	174.5	461.52746846	6.92083333	0	0	1.235	26.79492063	0.0	-2.98190195	3247.40450937	1	3244.42260742	78.51895905	1.755	0	17264.71700755	19	35	0	54	35
0	4.88667829	173.5	459.02916434	6.92083333	0	0	1.235	26.79492063	0.00071585	-6.39124283	3246.28333267	1	3239.89208984	69.01783752	1.82	0	18661.65352655	20	35	0	55	35
0	4.99972119	169.5	455.02887684	6.92083333	0	0	1.235	26.79492063	-0.00982911	-8.99115514	3247.15912389	1	3238.16796875	69.90460968	1.56	0	19068.60795155	21	35	0	56	35
0	5.24841411	194.5	452.50037944	6.92083333	0	0	1.235	26.79492063	0.00335085	-15.59635115	3248.75382186	1	3233.1574707	67.74529266	1.755	0	19963.90248013	22	35	0	57	35
0	5.49910397	170.5	455.02887684	6.92083333	0	0	1.235	26.79492063	-0.00332416	-8.91449617	3247.27680085	1	3238.36230469	69.86057281	1.56	0	20866.38596315	23	35	0	58	35
0	5.88697495	174.5	460.05907139	6.92083333	0	0	1.235	26.79492063	0.00429696	-13.17467057	3247.05455338	1	3233.87988281	69.02151489	1.95	0	22262.721498	24	35	0	59	35
0	6.00004063	172.5	456.02887684	6.92083333	0	0	1.235	26.79492063	-0.01965426	-10.79476025	3247.41292431	1	3236.61816406	75.78211212	1.43	0	22669.75792915	25	35	0	60	35
0	6.24850884	173.5	462.02798903	6.92083333	0	0	1.235	26.79492063	0.00670777	-11.86830323	3247.0604419	1	3235.19213867	76.32351685	1.82	0	23564.24349193	26	35	0	61	35
0	6.49884596	174.5	461.0567616	6.92083333	0	0	1.235	26.79492063	-0.00221923	-11.39935565	3246.89032245	1	3235.4909668	75.14728546	1.69	0	24465.45712908	27	35	0	62	35
0	6.88701662	174.5	461.55686589	6.92083333	0	0	1.235	26.79492063	0.00214682	-2.03271558	3248.9672859	1	3246.93457031	67.99338531	1.885	0	25862.87151258	28	35	0	63	35
0	6.9999493	171.5	460.5004043	6.92083333	0	0	1.235	26.79492063	0.0	-2.84921289	3249.45394922	1	3246.60473633	62.86353302	1.885	0	26269.42915578	29	35	0	64	35
0	7.24841588	169.5	458.02759726	6.92083333	0	0	1.235	26.79492063	-0.01006172	-0.55551808	3249.96079152	1	3249.40527344	74.61218262	1.3	0	27163.90882378	30	35	0	65	35
0	7.49865459	173.5	462.55597806	6.92083333	0	0	1.235	26.79492063	0.00777036	-1.08365037	3249.11001755	1	3248.02636719	69.17498779	1.755	0	28064.76817895	31	35	0	66	35
0	7.88619448	173.5	461.02883724	6.92083333	0	0	1.235	26.79492063	0.00071677	-15.43212284	3247.41137088	1	3231.97924805	68.81806183	1.82	0	29459.91179313	32	35	0	67	35
0	8.00006459	173.5	457.02889078	6.92083333	0	0	1.235	26.79492063	-0.01463656	-14.65269597	3247.53965886	1	3232.88696289	72.40779877	1.43	0	29869.8442033	33	35	0	68	35
0	8.24848753	173.5	460.52883724	6.92083333	0	0	1.235	26.79492063	0.00782715	-14.72850955	3247.41137088	1	3232.68286133	68.99022675	1.885	0	30764.166775	34	35	0	69	35
0	8.4989021	175.5	462.55456961	6.92083333	0	0	1.235	26.79492063	-0.00443709	-17.17671103	3247.42133993	1	3230.24462891	78.14347839	1.625	0	31665.65922005	35	35	0	70	35
0	8.88678666	173.5	459.55807878	6.92083333	0	0	1.235	26.79492063	0.00143227	-15.04416961	3247.66623993	1	3232.62207031	67.02161407	1.755	0	33062.04366203	36	35	0	71	35
0	8.99985958	175.5	462.0550902	6.92083333	0	0	1.235	26.79492063	0.00245663	-17.62073842	3247.59119741	1	3229.97045898	67.70354462	1.82	0	33469.1061664	37	35	0	72	35
0	9.24849838	173.5	456.561786	6.92083333	0	0	1.235	26.79492063	0.00558597	-18.73625774	3247.31877727	1	3228.58251953	71.67645264	2.145	0	34364.2058252	38	35	0	73	35
0	9.49881656	174.5	459.05858773	6.92083333	0	0	1.235	26.79492063	-0.0033291	-17.30071382	3247.49089937	1	3230.19018555	67.18215179	1.95	0	35265.35130195	39	35	0	74	35
0	9.88626507	173.5	461.52798903	6.92083333	0	0	1.235	26.79492063	-0.00071694	-3.47715338	3245.82407721	1	3242.34692383	69.55912018	1.885	0	36660.165909	40	35	0	75	35
0	9.99994103	173.5	457.55558629	6.92083333	0	0	1.235	26.79492063	-0.01954874	-7.24376916	3245.91979456	1	3238.67602539	71.95237732	1.365	0	37069.3993787	41	35	0	76	35
0	10.24861369	173.5	459.02971089	6.92083333	0	0	1.235	26.79492063	0.01005338	-4.14536805	3245.72837586	1	3241.58300781	66.04676056	1.95	0	37964.62095013	42	35	0	77	35
0	10.49893992	173.5	460.02877257	6.92083333	0	0	1.235	26.79492063	-0.00221933	-2.78680468	3245.83221484	1	3243.04541016	70.05799103	1.82	0	38865.79539695	43	35	0	78	35
0	10.8870317	173.5	459.02929386	6.92083333	0	0	1.235	26.79492063	0.00286301	-10.02485467	3247.35786248	1	3237.33300781	67.32123566	2.08	0	40262.92579655	44	35	0	79	35
0	10.99989215	173.5	459.02877257	6.92083333	0	0	1.235	26.79492063	-0.0049225	-10.16374877	3247.49309448	1	3237.3293457	70.39411926	1.95	0	40669.22342205	45	35	0	80	35
0	11.24856618	174.5	458.55858773	6.92083333	0	0	1.235	26.79492063	0.00111704	-9.39169236	3247.22543259	1	3237.83374023	66.38510132	2.015	0	41564.44991023	46	35	0	81	35
0	11.49865853	175.5	457.55736683	6.92083333	0	0	1.235	26.79492063	-0.0066642	-9.72579425	3247.36153644	1	3237.63574219	67.36943817	1.625	0	42464.78238678	47	35	0	82	35
0	11.88676368	173.0	458.52964584	6.92083333	0	0	1.3	26.79492063	0.00286291	-13.00393584	3248.47170928	1	3235.46777344	64.94789886	1.885	0	43861.96090988	48	35	0	83	35
